popular_rank,startYear,endYear,type,orign_country,language,rating,numVotes,genres,isAdult
8,2021.0,2022.0,tvSeries,United States,English,8.2,9622.0,"Action,Adventure,Drama",0
17,2021.0,2022.0,tvSpecial,United States,English,8.9,13128.0,"Comedy,Drama,Music",0
35,2021.0,2021.0,tvMiniSeries,United States,English,7.5,7747.0,"Biography,Drama",0
40,2021.0,2022.0,tvSeries,Mexico,Spanish,6.5,9203.0,"Crime,Drama,Mystery",0
62,2017.0,2019.0,tvSeries,United States,English,7.9,14540.0,"Comedy,Drama",0
66,2016.0,2021.0,tvSeries,Canada,English,8.2,10758.0,Comedy,0
75,2007.0,2009.0,tvSeries,Canada,English,8.4,10758.0,"Drama,Family",0
119,2020.0,2021.0,tvSeries,United Kingdom,English,7.5,5679.0,"Comedy,Drama,Romance",0
140,2015.0,2017.0,tvSeries,France,Urdu,7.7,7609.0,"Action,Adventure,Animation",0
142,2021.0,2022.0,movie,Belgium,Flemish,7.1,6748.0,"Action,Crime,Drama",0
149,2015.0,2017.0,tvSeries,Canada,English,7.3,7924.0,"Comedy,Drama,Fantasy",0
191,2021.0,2022.0,tvSeries,South Korea,Korean,8.6,5751.0,"Comedy,Crime,Romance",0
204,2008.0,2010.0,tvSeries,Canada,English,8.1,11159.0,"Crime,Drama,Mystery",0
220,2020.0,2022.0,tvSeries,United States,English,7.8,5509.0,"Animation,Comedy,Drama",0
224,2019.0,2021.0,tvSeries,Belgium,Dutch,7.8,12165.0,"Crime,Drama,Thriller",0
235,2021.0,2021.0,tvSeries,United Kingdom,English,5.9,11889.0,"Crime,Drama,Fantasy",0
250,2014.0,2016.0,tvSeries,United States,English,8.1,11072.0,"Drama,Family,Romance",0
263,2017.0,2021.0,tvSeries,Japan,Japanese,8.3,12037.0,"Action,Adventure,Animation",0
272,2019.0,2021.0,tvSeries,United States,English,7.7,12939.0,"Crime,Drama,Horror",0
350,2014.0,2020.0,tvSeries,Japan,English,8.8,13914.0,"Animation,Comedy,Drama",0
368,2020.0,2022.0,tvSeries,United States,English,7.4,9501.0,"Drama,Romance",0
372,2004.0,2006.0,tvSeries,United Kingdom,English,8.3,13281.0,"Comedy,Drama,Romance",0
375,2020.0,2022.0,tvSeries,United States,English,4.5,8365.0,"Game-Show,Reality-TV,Romance",0
402,2012.0,2018.0,tvSeries,Japan,Japanese,7.6,7702.0,"Action,Animation,Comedy",0
417,2017.0,2019.0,movie,United States,English,6.6,10055.0,"Crime,Mystery,Thriller",0
420,2019.0,2019.0,tvMiniSeries,United Kingdom,English,5.1,7889.0,"Drama,Sci-Fi",0
423,2020.0,2022.0,movie,United States,English,4.7,11673.0,"Action,Comedy,Drama",0
433,2017.0,2019.0,tvSeries,Canada,English,7.6,11069.0,Comedy,0
475,2020.0,2022.0,tvSeries,United States,English,8.5,7062.0,"Comedy,Family,Fantasy",0
495,2011.0,2013.0,tvSeries,United Kingdom,English,8.4,14375.0,"Crime,Drama,Thriller",0
498,2015.0,2018.0,tvSeries,France,Latin,7.9,14541.0,"Biography,Drama,History",0
504,2021.0,2022.0,movie,United States,English,6.1,7636.0,"Action,Adventure,Comedy",0
506,2016.0,2018.0,movie,Canada,English,5.5,10893.0,"Drama,Romance",0
509,2021.0,2022.0,tvSeries,United States,English,8.1,11131.0,"Action,Adventure,Animation",0
513,2018.0,2020.0,tvSeries,United States,English,7.9,11184.0,"Action,Adventure,Animation",0
529,2020.0,2022.0,tvSeries,South Korea,Korean,7.4,11475.0,"Drama,Fantasy,Horror",0
531,2021.0,2022.0,tvSeries,Sweden,Swedish,7.6,5907.0,"Action,Crime,Drama",0
532,2020.0,2020.0,tvSeries,South Korea,Korean,8.8,12669.0,"Comedy,Drama,Romance",0
534,2021.0,2022.0,tvSeries,United Kingdom,English,6.6,10250.0,"Crime,Drama,Sci-Fi",0
537,2020.0,2022.0,movie,United Kingdom,English,6.3,6320.0,Drama,0
545,2016.0,2018.0,tvSeries,United States,English,6.9,12554.0,Comedy,0
546,2021.0,2022.0,tvSeries,Germany,German,6.8,9472.0,"Action,Adventure,Drama",0
551,2006.0,2010.0,tvSeries,Australia,English,7.2,13085.0,"Drama,Family,Fantasy",0
569,2013.0,2015.0,tvSpecial,United States,English,8.5,8565.0,"Comedy,Music",0
576,2016.0,2018.0,tvSpecial,United States,English,8.5,10339.0,"Comedy,Music",0
582,2018.0,2020.0,tvSeries,United States,English,8.0,11616.0,Comedy,0
602,2020.0,2022.0,tvSeries,United States,English,7.6,13337.0,"Action,Animation,Fantasy",0
603,2016.0,2018.0,tvSeries,Canada,English,6.7,11709.0,"Crime,Drama,Horror",0
612,2021.0,2022.0,tvSeries,Turkey,Turkish,7.5,5969.0,"Crime,Drama,Thriller",0
619,2018.0,2019.0,tvSeries,United States,English,7.6,14541.0,"Action,Adventure,Comedy",0
623,2010.0,2018.0,tvSeries,Australia,English,8.5,6723.0,"Comedy,Drama",0
625,2018.0,2018.0,tvSeries,Australia,English,7.0,6975.0,"Crime,Drama,Fantasy",0
626,2016.0,2018.0,tvSeries,Canada,English,7.0,6313.0,"Biography,Documentary,Drama",0
628,2020.0,2022.0,movie,United States,English,4.5,8425.0,"Action,Crime,Drama",0
634,2017.0,2019.0,movie,United States,English,6.3,14934.0,"Drama,Romance",0
636,2019.0,2021.0,tvSeries,Japan,Japanese,8.2,12265.0,"Action,Adventure,Animation",0
643,2017.0,2020.0,tvSeries,United States,English,8.2,13822.0,Comedy,0
654,2020.0,2022.0,movie,United States,English,6.0,13393.0,"Adventure,Animation,Comedy",0
663,2020.0,2022.0,movie,Australia,English,6.8,6338.0,Drama,0
673,2019.0,2019.0,tvSeries,United Kingdom,English,7.9,11427.0,"Crime,Drama,Mystery",0
